,name,date_time,lat,lon,temp,temp_min,temp_max,humidity,wind_speed,clouds_percent
320,Volksrust,1578240866,-27.36,29.88,302.43,302.43,302.43,31,2.34,33
321,Tiksi,1578240866,71.64,128.87,245.71,245.71,245.71,86,4.51,28
322,Abha,1578240866,18.22,42.5,288.67,288.15,289.15,82,2.6,20
323,Longyearbyen,1578240866,78.22,15.63,254.15,254.15,254.15,84,1.5,20
324,Vanimo,1578240866,-2.67,141.3,302.0,302.0,302.0,80,9.84,98
325,Novouzensk,1578240866,50.46,48.14,270.63,270.63,270.63,92,3.17,72
326,Sjovegan,1578240867,68.87,17.85,269.3,265.37,272.59,73,7.7,75
327,Tuatapere,1578240867,-46.13,167.69,283.71,283.71,283.71,86,5.81,100
328,Kupino,1578240867,54.36,77.31,268.45,268.45,268.45,94,5.84,100
329,Nouadhibou,1578240867,20.93,-17.03,297.15,297.15,297.15,23,6.2,51
330,Mindyak,1578240867,54.02,58.79,272.15,272.15,272.15,74,3.0,75
331,Boueni,1578240868,-12.9,45.08,302.15,302.15,302.15,74,5.1,100
332,Amahai,1578240868,-3.31,129.0,303.15,303.15,303.15,79,7.17,100
333,Espinosa,1578240868,-14.92,-42.81,292.73,292.73,292.73,97,2.46,100
334,Mandalgovi,1578240868,45.76,106.27,259.83,259.83,259.83,86,8.12,0
335,Dire,1578240868,9.18,38.92,290.28,290.28,290.28,54,4.97,0
336,La Orilla,1578240869,18.0,-102.23,295.25,295.25,295.25,47,2.64,20
337,Los Llanos de Aridane,1578240869,28.66,-17.92,292.47,290.93,294.15,56,4.6,20
338,Mehamn,1578240869,71.03,27.85,270.73,270.15,271.15,79,2.1,75
339,Neuquen,1578240869,-38.95,-68.06,293.15,293.15,293.15,30,6.2,55
340,Shitanjing,1578240869,39.23,106.34,270.37,270.37,270.37,46,2.12,100
341,Bathsheba,1578240869,13.22,-59.52,303.15,303.15,303.15,58,6.7,40
342,Avarua,1578240869,-21.21,-159.78,297.15,297.15,297.15,94,1.0,100
343,Sijunjung,1578240870,-0.69,100.95,295.18,295.18,295.18,88,0.57,98
344,Ambulu,1578240870,-8.35,113.61,301.35,301.35,301.35,80,5.06,100
345,Aklavik,1578240870,68.22,-135.01,243.53,243.15,244.15,75,6.2,90
346,Gravdal,1578240870,59.79,5.78,280.8,280.15,281.15,93,5.1,75
347,Kohtla-Jarve,1578240870,59.4,27.27,272.8,272.8,272.8,66,5.86,29
348,Cuamba,1578240870,-14.8,36.54,296.42,296.42,296.42,84,2.52,100
349,Carlagan,1578240871,14.97,122.05,298.15,298.15,298.15,79,8.62,8
350,Baghdad,1578240749,33.3,44.38,287.15,287.15,287.15,50,1.0,10
351,Darnah,1578240838,32.77,22.64,289.29,289.29,289.29,77,10.22,44
352,Hailey,1578240871,43.52,-114.32,266.08,264.82,267.15,62,3.1,90
353,Muisne,1578240871,0.61,-80.02,297.15,297.15,297.15,94,2.6,75
354,Srednebelaya,1578240871,50.66,128.01,252.15,252.15,252.15,76,3.0,0
355,Teya,1578240872,21.05,-89.07,297.41,297.15,297.59,57,2.51,40
356,Novobiryusinskiy,1578240872,56.96,97.71,268.35,268.35,268.35,95,3.66,100
357,Rudsar,1578240606,37.14,50.29,283.25,282.15,284.15,87,1.46,75
358,Porto Walter,1578240872,-8.27,-72.74,301.73,301.73,301.73,63,1.93,100
359,Shatrovo,1578240872,42.29,22.98,273.42,273.15,273.71,74,5.7,90
360,Moussoro,1578240872,13.64,16.49,300.29,300.29,300.29,14,5.86,0
361,Kayerkan,1578240873,69.35,87.76,266.15,266.15,266.15,100,12.0,75
362,Bataipora,1578240873,-22.3,-53.27,303.71,303.71,303.71,58,1.42,0
363,Kununurra,1578240873,-15.77,128.74,299.15,299.15,299.15,88,3.6,100
364,Requena,1578240873,39.49,-1.1,290.27,287.59,291.48,48,3.1,0
365,Tingi,1578240873,-11.3,35.03,297.8,297.8,297.8,79,0.78,100
366,Pouebo,1578240873,-20.4,164.57,295.16,295.16,295.16,85,1.58,15
367,Xining,1578240874,36.62,101.77,266.61,266.61,266.61,56,2.35,100
368,Solnechnyy,1578240874,50.72,136.64,253.06,253.06,253.06,81,1.07,0
369,La Ronge,1578240874,55.1,-105.3,258.15,258.15,258.15,77,4.6,40
370,Evensk,1578240874,61.92,159.24,255.92,255.92,255.92,44,1.55,44
371,Arlit,1578240874,18.74,7.39,297.45,297.45,297.45,10,0.38,0
372,Kaitangata,1578240874,-46.28,169.85,282.04,282.04,282.04,81,5.36,90
373,Burnie,1578240875,-41.05,145.91,284.83,283.71,285.93,73,1.79,100
374,Borsa,1578240851,47.66,24.66,269.82,269.82,269.82,79,3.34,28
375,Shenjiamen,1578240875,29.96,122.3,288.58,288.58,288.58,84,9.29,13
376,Puerto Baquerizo Moreno,1578240875,-0.9,-89.6,299.15,299.15,299.15,83,6.2,90
377,Hvide Sande,1578240875,56.01,8.13,280.39,279.82,281.48,87,4.6,100
378,Buzmeyin,1578240875,38.05,58.21,276.15,276.15,276.15,100,2.1,90
379,Taltal,1578240876,-25.41,-70.49,292.09,292.09,292.09,66,2.92,48
