,name,date_time,lat,lon,temp,temp_min,temp_max,humidity,wind_speed,clouds_pecent
411,Tecoanapa,1577916628,16.99,-99.26,303.15,303.15,303.15,62,3.1,20
412,Mitsamiouli,1577916629,-11.38,43.28,301.15,301.15,301.15,83,2.6,40
413,La Ronge,1577916629,55.1,-105.3,268.15,268.15,268.15,85,1.41,90
414,Micoud,1577916630,13.82,-60.9,300.36,298.71,301.15,69,5.7,20
415,Aasiaat,1577916630,68.71,-52.87,256.62,256.62,256.62,91,2.22,100
416,Gushikawa,1577916630,26.35,127.87,289.02,288.15,290.15,63,2.6,75
417,Kuytun,1577916630,54.34,101.51,258.06,258.06,258.06,95,1.79,100
418,Kiruna,1577916630,67.86,20.23,276.15,276.15,276.15,74,8.7,84
419,Poum,1577916631,41.28,20.71,269.63,269.63,269.63,76,2.19,0
420,Beliator,1577916631,23.33,87.22,290.73,290.73,290.73,69,3.2,100
421,Puerto Leguizamo,1577916631,-0.19,-74.78,304.87,304.87,304.87,42,2.51,47
422,Grindavik,1577916631,63.84,-22.43,272.75,272.15,273.15,86,6.7,75
423,North Platte,1577916631,41.12,-100.77,280.32,279.82,281.15,86,5.1,20
424,Bonfim,1577916632,3.36,-59.84,306.29,306.29,306.29,35,7.15,60
425,Grand-Santi,1577916632,4.27,-54.38,300.82,300.82,300.82,59,1.66,61
426,Olinda,1577916632,-37.84,145.39,291.2,289.26,293.15,59,3.1,20
427,Davila,1577916632,18.47,120.58,294.15,294.15,294.15,88,1.5,20
428,Salekhard,1577916097,66.54,66.62,256.37,256.37,256.37,85,3.52,29
429,Wichian Buri,1577916632,15.66,101.11,295.44,295.44,295.44,71,2.88,0
430,Pianco,1577916633,-7.2,-37.93,298.62,298.62,298.62,76,2.61,100
431,Tiksi,1577916633,71.64,128.87,240.36,240.36,240.36,79,2.07,0
432,Devils Lake,1577916633,48.11,-98.87,274.74,274.15,275.15,86,2.1,75
433,Crixas,1577916633,-14.55,-49.97,300.29,300.29,300.29,82,1.8,100
434,Mayo,1577916633,63.59,-135.9,270.15,270.15,270.15,73,4.6,75
435,Tera,1577916634,34.97,32.42,282.44,280.93,283.15,87,4.1,75
436,Kaitong,1577916634,44.81,123.15,254.49,254.49,254.49,86,3.86,15
437,Margate,1577916634,-43.03,147.26,289.73,287.04,291.15,39,6.7,75
438,Abu Dhabi,1577916607,24.47,54.37,293.15,293.15,293.15,88,1.0,100
439,Guerrero Negro,1577916634,27.97,-114.04,291.75,291.75,291.75,52,5.65,0
440,Ust-Nera,1577916634,64.57,143.24,250.59,250.59,250.59,97,1.75,99
441,Harrisburg,1577916362,40.27,-76.89,276.68,274.26,278.71,44,3.91,1
442,Sisimiut,1577916635,66.94,-53.67,254.86,254.86,254.86,87,2.47,99
443,Mishima,1577916635,35.15,138.95,274.79,268.15,279.26,95,1.34,78
444,Sur,1577916636,22.57,59.53,293.9,293.9,293.9,62,2.81,19
445,Camopi,1577916637,3.17,-52.33,299.3,299.3,299.3,68,1.79,73
446,Guaruja,1577916482,-23.99,-46.26,300.18,297.59,301.15,78,3.6,38
447,Banyo,1577916637,6.75,11.81,292.12,292.12,292.12,36,1.35,9
448,Sumenep,1577916425,-7.02,113.87,298.42,298.42,298.42,85,4.12,100
449,Werda,1577916637,-25.27,23.28,297.27,297.27,297.27,72,12.28,90
450,Iqaluit,1577916637,63.75,-68.52,257.15,257.15,257.15,77,1.5,90
451,Harper,1577916638,30.3,-99.24,282.6,281.48,283.15,93,3.1,90
452,Hede,1577916638,60.45,15.49,277.28,276.48,278.15,65,3.6,100
453,Novobohdanivka,1577916638,47.09,35.33,274.58,274.58,274.58,84,6.17,99
454,Kisangani,1577916638,0.52,25.21,298.0,298.0,298.0,71,1.48,95
455,Celestun,1577916638,20.87,-90.4,298.04,298.04,298.04,85,5.66,25
456,Morant Bay,1577916638,17.88,-76.41,301.69,301.48,302.15,79,6.7,20
457,Neryungri,1577916638,56.66,124.71,250.84,250.84,250.84,97,4.06,99
458,Klaksvik,1577916639,62.23,-6.59,282.15,282.15,282.15,100,12.3,100
459,Umm Kaddadah,1577916639,13.6,26.69,295.13,295.13,295.13,17,3.14,4
460,Aykhal,1577916660,65.95,111.51,255.15,255.15,255.15,84,2.0,0
461,Grand Gaube,1577916608,-20.01,57.66,298.37,298.15,298.71,94,1.5,20
462,Gallup,1577916660,35.53,-108.74,276.12,274.82,277.15,51,6.7,1
463,Flin Flon,1577916660,54.77,-101.88,263.15,263.15,263.15,85,2.6,90
464,Makat,1577916660,47.65,53.35,275.18,275.18,275.18,82,7.0,100
465,Skegness,1577916661,53.14,0.34,278.84,278.15,279.82,93,3.6,75
466,Winnemucca,1577916661,40.97,-117.74,282.08,282.04,282.15,61,6.2,75
467,San Francisco,1577916600,1.17,-76.88,294.15,294.15,294.15,73,3.1,40
468,Evensk,1577916661,61.92,159.24,257.01,257.01,257.01,80,5.49,82
469,Tungor,1577916661,53.39,142.95,256.79,256.79,256.79,93,8.58,100
470,Sayyan,1577916661,15.17,44.32,286.4,286.4,286.4,55,0.63,1
471,Kruisfontein,1577916661,-34.0,24.73,290.2,290.2,290.2,94,3.02,4
472,Nishihara,1577916662,35.74,139.53,274.87,269.26,280.15,51,4.1,20
473,Kiama,1577916662,-34.67,150.86,293.21,291.15,294.82,77,3.56,90
474,Xinzhou,1577916662,38.41,112.73,268.11,268.11,268.11,57,0.21,35
475,Oliver,1577916665,49.18,-119.55,279.74,279.26,280.15,75,4.1,75
476,Buala,1577916637,-8.15,159.59,300.49,300.49,300.49,76,1.44,84
477,Ponta Delgada,1577916665,37.73,-25.67,287.15,287.15,287.15,76,5.1,40
478,Fortuna Foothills,1577916666,32.66,-114.41,291.85,288.71,295.15,22,4.1,1
479,Abu Samrah,1577916666,35.3,37.18,281.92,281.92,281.92,84,2.71,8
480,Shimoda,1577916666,34.7,138.93,276.22,275.93,276.48,91,2.83,0
481,Hamilton,1577916570,43.26,-79.87,271.87,269.82,273.15,68,7.7,40
482,Tshikapa,1577916666,-6.42,20.79,295.5,295.5,295.5,92,0.54,100
483,Mwingi,1577916666,-0.93,38.07,292.2,292.2,292.2,83,1.05,74
484,Kieta,1577916666,-6.22,155.63,300.74,300.74,300.74,76,2.86,85
485,Axim,1577916667,4.87,-2.24,299.33,299.33,299.33,72,1.14,1
486,Lannion,1577916667,48.73,-3.46,281.99,281.48,282.15,93,2.6,90
487,Vanimo,1577916668,-2.67,141.3,301.29,301.29,301.29,76,5.41,97
488,Nikolayevsk-na-amure,1577916668,53.14,140.72,254.97,254.97,254.97,94,5.98,100
489,Lerwick,1577916668,60.15,-1.15,281.15,281.15,281.15,81,10.3,100
490,Polunochnoye,1577916668,60.87,60.43,257.76,257.76,257.76,89,1.45,100
491,Savinka,1577916668,50.08,47.1,273.21,273.21,273.21,96,5.59,97
492,Peniche,1577916668,39.36,-9.38,281.15,277.59,283.71,100,0.5,16
493,Aberystwyth,1577916668,52.41,-4.08,279.99,279.26,280.93,93,2.24,92
494,Ibra,1577916669,22.69,58.55,291.85,291.85,291.85,60,3.2,42
495,Prince Rupert,1577916669,54.32,-130.32,277.15,277.15,277.15,71,6.2,75
496,Cockburn Town,1577916669,21.46,-71.14,298.95,298.95,298.95,67,2.33,9
497,Salta,1577916670,-24.79,-65.41,301.99,295.15,305.15,83,2.1,75
498,Ampanihy,1577916670,-24.69,44.75,295.92,295.92,295.92,79,5.6,2
499,Gaya,1577916541,24.8,85.01,286.15,286.15,286.15,100,2.07,90
500,Chapais,1577916670,49.78,-74.86,269.15,269.15,269.15,92,2.6,90
501,Semirom,1577916670,31.41,51.57,269.65,269.65,269.65,95,2.2,100
502,Santa Isabel do Rio Negro,1577916670,-0.41,-65.02,305.82,305.82,305.82,50,1.51,33
503,Farafangana,1577916670,-22.82,47.83,300.37,300.37,300.37,70,3.4,68
504,Ulaanbaatar,1577916671,47.92,106.92,246.15,246.15,246.15,68,2.0,0
505,Bilma,1577916671,18.69,12.92,281.86,281.86,281.86,31,6.79,0
